SAMPLE,Weather,Location,SITE,TEMP,PH,CONDUCTIVITY,DO,Turburdity,Nitrite,NITRATE,TOTAL_COLI,E-Coli,FEACEL,AMONIAUM,BOD,COD,PHOSPHATE,SALINITY,WQI
30-Jun-09,,Wade Street,14a,17.45,5.75,910.7,140.2,,,,31000,5600,,0.52,< 2,,0.18,,47.34331673
30-Jun-09,,Mina Park ,15,16.84,7.9,375.9,83.2,,,,340000,53000,,0.53,4,,0.15,,75.29078431
01-Jul-09,,Conham Vale,16,20.78,8.05,735.1,77.9,,,,2400,400,,0.1,3,,0.34,,82.50582516
15-Jul-09,,Trowbridge Road,2,16.6,7.92,747.5,85.3,,,,38000,10000,,0.18,< 2,,0.38,,84.23718111
15-Jul-09,,Badocks Wood,2a,15.73,7.88,702.3,80,,,,12000,3400,,0.02,< 2,,0.47,,83.51862719
15-Jul-09,,Coombe Dingle,3,14.95,6.79,640.2,89.9,,,,6400,2400,,0.01,< 2,,0.23,,64.6654981
15-Jul-09,,Crow Lane,3a,15.52,7.17,680.7,73.3,,,,58000,19000,,0.8,4,,0.27,,73.68456699
14-Jul-09,,Ashton vale,4,14.44,6.28,1011.5,65.1,,,,92000,12000,,0.42,2,,< 0.10,,61.46687092
14-Jul-09,,Hartcliffe Way,5,16.37,7.04,459.1,92.9,,,,17000,2400,,0.1,< 2,,0.13,,63.47825954
14-Jul-09,,Briscoe's Avenue,5a,16.41,7.93,456.9,71.4,,,,180000,7800,,0.17,2,,0.19,,71.04919935
14-Jul-09,,Manor Wood,6,16.35,6.97,293.3,84.8,,,,220000,15000,,0.11,2,,0.27,,51.06947712
14-Jul-09,,Cotswold Road,7a,15.97,6.12,233.9,73.6,,,,110000,22000,,0.28,4,,0.11,,48.02150327
14-Jul-09,,Brixham Road,7b,14.98,6.09,590.1,65.5,,,,440000,73000,,0.51,3,,0.15,,53.0638317
14-Jul-09,,Allison Road,9,15.45,7.07,547.6,83.9,,,,72000,13000,,0.11,2,,0.3,,58.64716503
14-Jul-09,,Cadogan Road,10,15.8,6.81,664.2,64.1,,,,380000,38000,,0.17,2,,0.21,,61.08963235
14-Jul-09,,St Georges Park Lake,11,19.49,7.51,619.5,56.9,,,,7800,1600,,0.13,6,,< 0.10,,88.60812908
15-Jul-09,,Dubbers Lane,12,14.43,7.81,1573,64.5,,,,20000,7400,,24.8,< 2,,< 0.10,,105.6901223
15-Jul-09,,Eastville Park Lake,13,20.51,7.6,506.3,52.8,,,,3600,2200,,0.06,11,,< 0.10,,109.5191503
15-Jul-09,,Lower Grove Road,13a,15.96,7.43,652.6,63.2,,,,35000,12000,,0.91,4,,0.35,,78.51542484
15-Jul-09,,Snuff Mills,14,15.99,7.37,623.8,79,,,,600,400,,0.04,< 2,,0.18,,74.51184614
15-Jul-09,,Wade Street,14a,17.09,6.77,610.3,93.1,,,,2100,600,,0.05,< 2,,0.18,,63.11883143
15-Jul-09,,Mina Park ,15,15.68,7.68,801.8,84.8,,,,30000,7200,,0.04,3,,0.25,,77.55705882
14-Jul-09,,Conham Vale,16,18.99,7.64,729.1,75.7,,,,2400,600,,0.16,< 2,,0.43,,81.44476281
12-Aug-09,,Trowbridge Road,2,16.68,8.87,813.4,79.4,,,,37000,18000,,0.11,3,,0.42,,95.87861111
12-Aug-09,,Badocks Wood,2a,14.8,8.79,803.4,84.1,,,,8600,3200,,0.04,< 2,,0.34,,98.27061248
12-Aug-09,,Coombe Dingle,3,15.49,8.34,900.7,89.9,,,,7200,800,,0.04,< 2,,0.2,,93.08249156
12-Aug-09,,Crow Lane,3a,16.33,8.21,928.4,63.6,,,,76000,19000,,0.19,3,,0.24,,91.83735294
